genre_id,genre_name
001       ,pop                                               
002       ,country rap                                       
003       ,reggaeton                                         
004       ,latin                                             
005       ,boy band                                          
006       ,canadian hip hop                                  
007       ,trap music                                        
008       ,dance pop                                         
009       ,escape room                                       
010       ,brostep                                           
