song_id,song_name
1         ,boyfriend (with Social House)                     
2         ,Beautiful People (feat. Khalid)                   
3         ,I Dont Care (with Justin Bieber)                  
4         ,Ransom                                            
5         ,How Do You Sleep?                                 
6         ,Old Town Road - Remix                             
7         ,Callaita                                          
8         ,Loco Contigo (feat. J. Balvin & Tyga)             
9         ,Someone You Loved                                 
10        ,Money In The Grave (Drake ft. Rick Ross)          
